,index,name,categories,type,unit,database,0
0,Score,,,,,,-1.9048759718104976e-13
2,Rest (-),,,,,,-1.2667949743720234e-16
3,"Uranium, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Uranium, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-9.523718726310134e-14
4,"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-2.617692089430622e-14
5,"Clay, unspecified, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Clay, unspecified, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-2.244052081802725e-14
6,"Iron, 46% in ore, 25% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Iron, 46% in ore, 25% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.4608429881129506e-14
7,"Aluminium, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Aluminium, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.336915486174153e-14
8,"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-4.714650204326296e-15
9,"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-2.421369622921138e-15
10,"Clay, bentonite, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Clay, bentonite, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.5335386746160477e-15
11,"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.4710882008571784e-15
12,"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.4461256744768812e-15
13,"Zinc, Zn 0.63%, in mixed ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Zinc, Zn 0.63%, in mixed ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.1154601988442968e-15
