,index,name,categories,type,unit,database,0
0,Score,,,,,,-3.8536360248912464e-13
2,Rest (-),,,,,,-1.8886557277692711e-16
3,"Uranium, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Uranium, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-3.137423677255829e-13
4,"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-2.2791589061754456e-14
5,"Clay, unspecified, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Clay, unspecified, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.7559444177320898e-14
6,"Aluminium, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Aluminium, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-7.83429499271087e-15
7,"Iron, 46% in ore, 25% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Iron, 46% in ore, 25% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-7.324914094984324e-15
8,"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-3.758640176522155e-15
9,"Clay, bentonite, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Clay, bentonite, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-2.4205395224129423e-15
10,"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.9843789019852027e-15
11,"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-1.2056756659845979e-15
12,"Zinc, Zn 0.63%, in mixed ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Zinc, Zn 0.63%, in mixed ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-9.971272796786853e-16
13,"Lead, Pb 0.014%, in mixed ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Lead, Pb 0.014%, in mixed ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-8.415172935563381e-16
14,"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-7.902556903451308e-16
15,"Copper, Cu 0.38%, in mixed ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, Cu 0.38%, in mixed ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-7.231197717794607e-16
16,"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-5.382722982662833e-16
17,"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-4.550939884133439e-16
18,"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground | ('natural resource', 'in ground') | natural resource | kilogram | ecoinvent-3.4-biosphere","Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground","('natural resource', 'in ground')",natural resource,change in ore grade per kg of metal extracted,ecoinvent-3.4-biosphere,-4.322000225887488e-16
