0,1,2,3,4,5
"('ecoinvent-3.4-biosphere', 'f8ac9a93-5172-4349-bc59-01af13f7dbb6')",Sodium formate,Sodium formate,CHNaO2,68.007,
"('ecoinvent-3.4-biosphere', 'f8ac9a93-5172-4349-bc59-01af13f7dbb6')",Sodium formate,Sodium formate,CHNaO2,68.007,
"('ecoinvent-3.4-biosphere', 'e91093c9-20df-49c5-8960-eabf05af6832')",Acetone,Acetone,C3H6O,58.08,
"('ecoinvent-3.4-biosphere', 'e91093c9-20df-49c5-8960-eabf05af6832')",Acetone,Acetone,C3H6O,58.08,
"('ecoinvent-3.4-biosphere', 'e91093c9-20df-49c5-8960-eabf05af6832')",Acetone,Acetone,C3H6O,58.08,
"('ecoinvent-3.4-biosphere', 'ba785aad-0ee5-4bba-b049-e32bc31670cb')",Titanium,Titanium,Ti,47.867,
"('ecoinvent-3.4-biosphere', 'ba785aad-0ee5-4bba-b049-e32bc31670cb')",Titanium,Titanium,Ti,47.867,
"('ecoinvent-3.4-biosphere', 'ba785aad-0ee5-4bba-b049-e32bc31670cb')",Titanium,Titanium,Ti,47.867,
"('ecoinvent-3.4-biosphere', 'd216b8b6-3744-447a-be01-989a5985cc35')",Oxadixyl,Oxadixyl,C14H18N2O4,278.3,
"('ecoinvent-3.4-biosphere', 'd216b8b6-3744-447a-be01-989a5985cc35')",Oxadixyl,Oxadixyl,C14H18N2O4,278.3,
"('ecoinvent-3.4-biosphere', 'd216b8b6-3744-447a-be01-989a5985cc35')",Oxadixyl,Oxadixyl,C14H18N2O4,278.3,
"('ecoinvent-3.4-biosphere', '4c0d236e-e50f-409e-b84b-b053da3394fa')",Boron carbide,Boron carbide,CB4,55.3,
"('ecoinvent-3.4-biosphere', '4c0d236e-e50f-409e-b84b-b053da3394fa')",Boron carbide,Boron carbide,CB4,55.3,
"('ecoinvent-3.4-biosphere', '4c0d236e-e50f-409e-b84b-b053da3394fa')",Boron carbide,Boron carbide,CB4,55.3,
"('ecoinvent-3.4-biosphere', '99dfc9b6-7e98-4751-9a50-39d19cbe6d5a')",Ethylamine,Ethylamine,C2H7N,45.08,
"('ecoinvent-3.4-biosphere', '99dfc9b6-7e98-4751-9a50-39d19cbe6d5a')",Ethylamine,Ethylamine,C2H7N,45.08,
"('ecoinvent-3.4-biosphere', '99dfc9b6-7e98-4751-9a50-39d19cbe6d5a')",Ethylamine,Ethylamine,C2H7N,45.08,
"('ecoinvent-3.4-biosphere', '71725af2-93f4-4746-a117-7108be9b4d27')",Sodium tetrahydridoborate,Sodium tetrahydridoborate,BH4Na,37.84,
"('ecoinvent-3.4-biosphere', '71725af2-93f4-4746-a117-7108be9b4d27')",Sodium tetrahydridoborate,Sodium tetrahydridoborate,BH4Na,37.84,
"('ecoinvent-3.4-biosphere', '71725af2-93f4-4746-a117-7108be9b4d27')",Sodium tetrahydridoborate,Sodium tetrahydridoborate,BH4Na,37.84,
"('ecoinvent-3.4-biosphere', 'ef4884eb-c75d-4ef8-9170-11b20401cbca')",MSMA,MSMA,CH4AsNaO3,161.952,
"('ecoinvent-3.4-biosphere', 'ef4884eb-c75d-4ef8-9170-11b20401cbca')",MSMA,MSMA,CH4AsNaO3,161.952,
"('ecoinvent-3.4-biosphere', 'ef4884eb-c75d-4ef8-9170-11b20401cbca')",MSMA,MSMA,CH4AsNaO3,161.952,
"('ecoinvent-3.4-biosphere', '1e2636dd-752e-4148-bdeb-d3e9abb4775e')",Methanesulfonic acid,Methanesulfonic acid,CH4O3S,96.11,
"('ecoinvent-3.4-biosphere', '1e2636dd-752e-4148-bdeb-d3e9abb4775e')",Methanesulfonic acid,Methanesulfonic acid,CH4O3S,96.11,
"('ecoinvent-3.4-biosphere', '1e2636dd-752e-4148-bdeb-d3e9abb4775e')",Methanesulfonic acid,Methanesulfonic acid,CH4O3S,96.11,
"('ecoinvent-3.4-biosphere', 'fe58044a-f54b-4c93-8c79-9cbdea3dfc6a')",Fluorine,Fluorine,F2,37.99680632,
"('ecoinvent-3.4-biosphere', 'fe58044a-f54b-4c93-8c79-9cbdea3dfc6a')",Fluorine,Fluorine,F2,37.99680632,
"('ecoinvent-3.4-biosphere', 'fe58044a-f54b-4c93-8c79-9cbdea3dfc6a')",Fluorine,Fluorine,F2,37.99680632,
"('ecoinvent-3.4-biosphere', '90653a29-2f53-4b1b-88bd-9ae2fe64a8d6')","1,4-Butanediol","1,4-Butanediol",C4H10O2,90.12,
"('ecoinvent-3.4-biosphere', '90653a29-2f53-4b1b-88bd-9ae2fe64a8d6')","1,4-Butanediol","1,4-Butanediol",C4H10O2,90.12,
"('ecoinvent-3.4-biosphere', '90653a29-2f53-4b1b-88bd-9ae2fe64a8d6')","1,4-Butanediol","1,4-Butanediol",C4H10O2,90.12,
"('ecoinvent-3.4-biosphere', '8b1020ea-0714-40df-8ea9-450e26963a43')",Mesotrione,Mesotrione,C14H13NO7S,339.32,
"('ecoinvent-3.4-biosphere', '8b1020ea-0714-40df-8ea9-450e26963a43')",Mesotrione,Mesotrione,C14H13NO7S,339.32,
"('ecoinvent-3.4-biosphere', '8b1020ea-0714-40df-8ea9-450e26963a43')",Mesotrione,Mesotrione,C14H13NO7S,339.32,
"('ecoinvent-3.4-biosphere', 'bb472a88-f118-4e3c-9305-3f206aaa8a41')",Dichlorprop,Dichlorprop,C9H8Cl2O3,235.06,
"('ecoinvent-3.4-biosphere', 'bb472a88-f118-4e3c-9305-3f206aaa8a41')",Dichlorprop,Dichlorprop,C9H8Cl2O3,235.06,
"('ecoinvent-3.4-biosphere', 'bb472a88-f118-4e3c-9305-3f206aaa8a41')",Dichlorprop,Dichlorprop,C9H8Cl2O3,235.06,
"('ecoinvent-3.4-biosphere', '15f9ebbb-b1b5-4bf7-88c6-d99424f5eced')",Carbon disulfide,Carbon disulfide,CS2,76.15,
"('ecoinvent-3.4-biosphere', '15f9ebbb-b1b5-4bf7-88c6-d99424f5eced')",Carbon disulfide,Carbon disulfide,CS2,76.15,
"('ecoinvent-3.4-biosphere', '15f9ebbb-b1b5-4bf7-88c6-d99424f5eced')",Carbon disulfide,Carbon disulfide,CS2,76.15,
"('ecoinvent-3.4-biosphere', 'feb606a8-c259-4169-9652-6b38467739f7')",Amidosulfuron,Amidosulfuron,C9H15N5O7S2,369.4,
"('ecoinvent-3.4-biosphere', 'feb606a8-c259-4169-9652-6b38467739f7')",Amidosulfuron,Amidosulfuron,C9H15N5O7S2,369.4,
"('ecoinvent-3.4-biosphere', 'feb606a8-c259-4169-9652-6b38467739f7')",Amidosulfuron,Amidosulfuron,C9H15N5O7S2,369.4,
"('ecoinvent-3.4-biosphere', '66288ede-0d82-4069-886a-d8b2f38f0128')",Imazethapyr,Imazethapyr,C15H19N3O3,289.33,
"('ecoinvent-3.4-biosphere', '66288ede-0d82-4069-886a-d8b2f38f0128')",Imazethapyr,Imazethapyr,C15H19N3O3,289.33,
"('ecoinvent-3.4-biosphere', '66288ede-0d82-4069-886a-d8b2f38f0128')",Imazethapyr,Imazethapyr,C15H19N3O3,289.33,
