0,1
"('ecoinvent-3.4-biosphere', 'c9e7bf95-483c-469c-8d21-9012f926b3b0')",Cerium-141
"('ecoinvent-3.4-biosphere', 'ab046420-da89-48e5-9e05-2a2b703eb2fe')",Polonium-210
"('ecoinvent-3.4-biosphere', '83a691df-1e4a-4cee-bcdb-17b7bd0c8c35')","Transformation, from urban, green area"
"('ecoinvent-3.4-biosphere', '416ebc48-7199-43a0-bc57-f7f6c951fff0')",Strontium-89
"('ecoinvent-3.4-biosphere', 'c7d2cf2d-0d21-45f7-9769-b07f3e53b76a')","Transformation, to seabed, infrastructure"
"('ecoinvent-3.4-biosphere', '075e433b-4be4-448e-9510-9a5029c1ce94')",Water
"('ecoinvent-3.4-biosphere', '19f84b2e-e6ff-4351-ba3a-8b650fc20d14')","Occupation, pasture, man made, extensive"
"('ecoinvent-3.4-biosphere', '9dc200b0-6faa-4518-9787-be7db7a9e29a')",Curium-242
"('ecoinvent-3.4-biosphere', '421a7f1b-01a5-4160-bb7e-32fa8967d9b9')",Krypton-85m
"('ecoinvent-3.4-biosphere', 'd65a94b4-0479-42cc-8274-2db66e1e6aeb')",Radium-226
"('ecoinvent-3.4-biosphere', '103c41ab-69e6-4af9-9b4a-cbd3e2858c0d')",Xenon-133m
"('ecoinvent-3.4-biosphere', '14ca107c-315a-410b-af1b-35a886faebce')",Xenon-135
"('ecoinvent-3.4-biosphere', 'edc41c91-7e10-41df-8c75-d4850a2e5eb9')",Thorium-232
"('ecoinvent-3.4-biosphere', '956c5f83-65c8-4607-9749-147cfb9c8f70')","Occupation, traffic area, rail/road embankment"
"('ecoinvent-3.4-biosphere', 'a99a8eaf-2f2c-42c6-b6ce-d5686a9ca249')","Transformation, from traffic area, rail network"
"('ecoinvent-3.4-biosphere', 'd73b27a2-81bd-4264-baa5-ce4aca3545be')","Transformation, to dump site, slag compartment"
"('ecoinvent-3.4-biosphere', '7d5b5802-3698-4be8-98f8-ab7c1a2e9328')","Transformation, from dump site, slag compartment"
"('ecoinvent-3.4-biosphere', '2bbffe32-86bd-485c-95a2-844bbfd42840')","Radioactive species, Nuclides, unspecified"
"('ecoinvent-3.4-biosphere', '4d466648-95dd-4866-97ad-6008746d32ab')",Uranium-235
"('ecoinvent-3.4-biosphere', '0b28fc38-9334-42a9-bac1-a04c2832e79d')",Iodine-131
"('ecoinvent-3.4-biosphere', 'bbcdd18c-4d16-4c28-b031-d988884030a7')","Transformation, from seabed, infrastructure"
"('ecoinvent-3.4-biosphere', 'bd601c88-f05e-436a-b4ab-5b3d4fb29882')",Americium-241
"('ecoinvent-3.4-biosphere', '93a5cd9d-5cb4-4f3a-9d72-8d3216160cd6')",Krypton-85
"('ecoinvent-3.4-biosphere', 'e651d762-8bf6-45a3-ba3c-33e1539f714f')",Cesium-134
"('ecoinvent-3.4-biosphere', 'd58263d0-1a0e-43d0-ad91-6ed0dd55d737')",Uranium-235
"('ecoinvent-3.4-biosphere', '70c4c6d8-ed81-4763-ae6d-39e54ef0b1fa')","Occupation, seabed, drilling and mining"
"('ecoinvent-3.4-biosphere', '46a9723a-aca5-4b66-9367-47412ec9e3a0')",Manganese-54
"('ecoinvent-3.4-biosphere', '090cc44a-7ca1-46fc-98bf-5bc6f5afb0a6')",Radium-226
"('ecoinvent-3.4-biosphere', '1c02cff4-e852-489b-893c-d3ed30eb8ca5')",Radium-226
"('ecoinvent-3.4-biosphere', 'f819c350-4a6c-457d-938f-27e8d23850ad')",Strontium-90
"('ecoinvent-3.4-biosphere', '634463b6-08b4-487a-b0af-4e19fbe8bca2')",Barium-140
"('ecoinvent-3.4-biosphere', 'b082e84d-001a-4154-be49-5851cfa68ddf')","Hydrogen-3, Tritium"
"('ecoinvent-3.4-biosphere', 'fdb1b2d0-f537-401e-b845-1d93da512174')","Occupation, arable, conservation tillage (obsolete)"
"('ecoinvent-3.4-biosphere', 'd287d8b2-c666-47c1-9f06-70859a070120')",Cerium-141
"('ecoinvent-3.4-biosphere', '24594cef-c50b-4e02-a5e3-c40cb06fea18')",Krypton-89
"('ecoinvent-3.4-biosphere', 'fcb77a5a-6882-4aeb-82a9-ba57688d2224')","Transformation, from permanent crop"
"('ecoinvent-3.4-biosphere', 'd36067a2-bf88-4726-8a32-ce13d3056103')",Neptunium-237
"('ecoinvent-3.4-biosphere', '9314fbdb-a2c7-466b-bb6c-61c89f09df51')",Antimony-125
"('ecoinvent-3.4-biosphere', 'f970ac84-3896-4168-a701-c73bf475edbb')",Potassium-40
"('ecoinvent-3.4-biosphere', 'a6e4fb65-8dcf-4126-9561-0b51a16fae77')",Expenditures on primary production factors
"('ecoinvent-3.4-biosphere', '01f511e2-7030-45f0-abb7-c24a4fae698b')",Antimony-125
"('ecoinvent-3.4-biosphere', '8395bd8d-9893-41f8-9d91-1ef0ca962aa6')",Strontium-89
"('ecoinvent-3.4-biosphere', '958272cf-f09a-4941-9f99-199739645b93')",Ruthenium-103
"('ecoinvent-3.4-biosphere', 'b5a90600-3fe4-4d46-9e4a-2c9f4d87675c')",Niobium-95
"('ecoinvent-3.4-biosphere', '57100588-a02a-4cbd-bcc5-b7c264bf2a3e')",Thorium-230
"('ecoinvent-3.4-biosphere', 'b91e05b3-7c4b-469f-aa01-73eaf7c0720d')",Krypton-88
"('ecoinvent-3.4-biosphere', 'a3d2b663-84af-4885-88d9-765624269efa')",Cerium-144
"('ecoinvent-3.4-biosphere', '0c1f1396-1b8f-4958-858c-1fde3a746125')",Silver-110
"('ecoinvent-3.4-biosphere', 'db4566b1-bd88-427d-92da-2d25879063b9')",Water
"('ecoinvent-3.4-biosphere', '2f38ead0-f60f-4a9b-a7ca-31219c1a2f65')",Uranium-234
"('ecoinvent-3.4-biosphere', '93b6b5d5-69e7-483f-ab1d-877205900970')","Transformation, from bare area (non-use)"
"('ecoinvent-3.4-biosphere', '147b91df-513b-4784-923a-180c2a5b1434')",Manganese-54
"('ecoinvent-3.4-biosphere', '6b44284d-6941-4ae6-815e-ce87f5b603bb')",Uranium-235
"('ecoinvent-3.4-biosphere', '7ad30e1c-f353-41c9-b61e-48fb5a07acef')",Cobalt-58
"('ecoinvent-3.4-biosphere', '56ec994a-eb96-42e8-93eb-4970e30e6362')","Occupation, urban, discontinuously built"
"('ecoinvent-3.4-biosphere', '7a2d5b3a-aac7-4a82-a990-0f4e1501db0b')",Radon-220
"('ecoinvent-3.4-biosphere', 'e3de5903-aa75-4d7b-a804-2c75248b4c6d')",Tellurium-123m
"('ecoinvent-3.4-biosphere', '959d46ab-6a28-48da-9584-7aa4909230f7')",Krypton-87
"('ecoinvent-3.4-biosphere', 'c56df4f7-c9e9-4892-a045-4b2fb93ff297')","Actinides, radioactive, unspecified"
"('ecoinvent-3.4-biosphere', 'e49fc1ed-4bf5-4ec2-88b1-29ff979b37b8')",Krypton-87
"('ecoinvent-3.4-biosphere', '0ee028c3-80c7-4377-97b1-81f1a732be2c')",Cerium-141
"('ecoinvent-3.4-biosphere', 'ac98d2a4-4985-49f9-b4e2-fc896ef145b6')",Uranium-234
"('ecoinvent-3.4-biosphere', '73cba245-5969-4076-8490-75a236073196')","Transformation, from permanent crop, irrigated"
"('ecoinvent-3.4-biosphere', '3ef6e30a-9742-48c8-adcd-48e38148004c')",Plutonium-alpha
"('ecoinvent-3.4-biosphere', '8bb37e69-9292-4af4-ba62-a55f00ac8f16')",Polonium-210
"('ecoinvent-3.4-biosphere', 'a53100b0-d453-4dad-b885-3728482d5c55')",Niobium-95
"('ecoinvent-3.4-biosphere', '0a2b3be6-e2b5-4878-a472-7deab6efc47d')",Sodium-24
