0,1
"('ecoinvent-3.4-biosphere', 'e945c333-2e8f-4b70-a53e-77f01fa443bd')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', 'e945c333-2e8f-4b70-a53e-77f01fa443bd')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', 'e945c333-2e8f-4b70-a53e-77f01fa443bd')","Hydrocarbons, aromatic"
"('ecoinvent-3.4-biosphere', 'c7dcf08c-f297-495b-b7db-f4f54799814b')","2,4-D amines"
"('ecoinvent-3.4-biosphere', 'c7dcf08c-f297-495b-b7db-f4f54799814b')","2,4-D amines"
"('ecoinvent-3.4-biosphere', 'c7dcf08c-f297-495b-b7db-f4f54799814b')","2,4-D amines"
"('ecoinvent-3.4-biosphere', 'cce10142-69c4-4a72-a010-ac6b6abad1d3')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
"('ecoinvent-3.4-biosphere', 'cce10142-69c4-4a72-a010-ac6b6abad1d3')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
"('ecoinvent-3.4-biosphere', 'cce10142-69c4-4a72-a010-ac6b6abad1d3')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin"
"('ecoinvent-3.4-biosphere', '299f371a-61c1-4ea2-8c38-901aa74acf7d')",Iprodion
"('ecoinvent-3.4-biosphere', '299f371a-61c1-4ea2-8c38-901aa74acf7d')",Iprodion
"('ecoinvent-3.4-biosphere', '299f371a-61c1-4ea2-8c38-901aa74acf7d')",Iprodion
"('ecoinvent-3.4-biosphere', '4b1af256-23b8-4e53-8148-cf52040f5ad7')","Herbicides, unspecified"
"('ecoinvent-3.4-biosphere', '4b1af256-23b8-4e53-8148-cf52040f5ad7')","Herbicides, unspecified"
"('ecoinvent-3.4-biosphere', '4b1af256-23b8-4e53-8148-cf52040f5ad7')","Herbicides, unspecified"
"('ecoinvent-3.4-biosphere', 'ddd99a3a-be86-423d-b36a-a9dc8af1b1f8')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', 'ddd99a3a-be86-423d-b36a-a9dc8af1b1f8')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', 'ddd99a3a-be86-423d-b36a-a9dc8af1b1f8')","Particulates, < 2.5 um"
"('ecoinvent-3.4-biosphere', '5ce634de-b810-4533-9efb-719c38fe7c09')",Dissolved solids
"('ecoinvent-3.4-biosphere', '5ce634de-b810-4533-9efb-719c38fe7c09')",Dissolved solids
"('ecoinvent-3.4-biosphere', '5ce634de-b810-4533-9efb-719c38fe7c09')",Dissolved solids
"('ecoinvent-3.4-biosphere', '82c27b2a-69a8-4b1e-ad4e-4de9475630c6')","Oils, unspecified"
"('ecoinvent-3.4-biosphere', '82c27b2a-69a8-4b1e-ad4e-4de9475630c6')","Oils, unspecified"
"('ecoinvent-3.4-biosphere', '82c27b2a-69a8-4b1e-ad4e-4de9475630c6')","Oils, unspecified"
"('ecoinvent-3.4-biosphere', '2451f9df-0596-49ec-8380-08e4ad75a153')","Hydrocarbons, aliphatic, alkanes, unspecified"
"('ecoinvent-3.4-biosphere', '2451f9df-0596-49ec-8380-08e4ad75a153')","Hydrocarbons, aliphatic, alkanes, unspecified"
